Reference, Value, Footprint, Datasheet, Characteristics, Description , MFN, MFP, Package ID, Source, Source Part , Source Price, Source Link, Notes, Description, Source , Source Part, Notes , Source Link 
"MK1","Microphone_Condenser","Wire_Connections_Bridges:WireConnection_0.80mmDrill",""
"R1","300","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/pr010203-239785.pdf","1 W","Resistores de película de metal - a través del orificio 1watt 300ohms 5%","Vishay / BC Components","PR01000103000JR500","0","Mouser","594-5073NW300R0J","0,153 €","https://www.mouser.es/ProductDetail/Vishay-BC-Components/PR01000103000JR500/?qs=sGAEpiMZZMtlubZbdhIBIH7EkvzN5n%2fN55TqVTvPwj4%3d","Value","","","","",""
"R3","2.2k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/pr010203-239785.pdf","1 W","","Vishay/BC Components","PR01000102201JR500","0","","","0,153 €","https://www.mouser.es/ProductDetail/Vishay-BC-Components/PR01000102201JR500/?qs=sGAEpiMZZMtlubZbdhIBIDqBBcd6vlUvWDtgA0QJWwY%3d","Value","Resistores de película de metal - a través del orificio 1watt 2.2Kohms 5%","Mouser","594-5073NW2K200J","",""
"C1","1u","Capacitors_THT:C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal","http://www.mouser.com/ds/2/427/021asm-239741.pdf","63 VDC","Capacitadores electrolíticos de aluminio - Con patas 1uF 63V 20% Axial","Vishay / BC Components","MAL202128108E3","0","Mouser","","0,493 €","https://www.mouser.es/ProductDetail/Vishay-BC-Components/MAL202128108E3/?qs=sGAEpiMZZMsh%252b1woXyUXj0wk5eamGd3b0nzlUsp6B2g%3d","Value","","","594-2222-021-28108","",""
"R4","1k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/ptf-239718.pdf","300 V","","Vishay / Dale","PTF561K0000BZEK","0","Mouser","","1,37 €","https://www.mouser.es/ProductDetail/Vishay-Dale/PTF561K0000BZEK/?qs=sGAEpiMZZMtlubZbdhIBIDfOMup5oo51%252bs9HTFYBx3k%3d","Value","Resistores de película de metal - a través del orificio 1/8watt 1Kohms .1% 5ppm","","71-PTF561K0000BZEK","",""
"U1","TL074","Housings_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/ds/symlink/tl074.pdf","36 V","","Texas Instruments","TL074CN","0","Mouser","","0,544 €","https://www.mouser.es/ProductDetail/Texas-Instruments/TL074CN/?qs=sGAEpiMZZMtCHixnSjNA6NVXWo9AXLOeoUCxMTuUhxw%3d","Value","Amplificadores operacionales - Op Amps JFET Input Low Noise","","595-TL074CN","",""
"R11","50k","Potentiometers:Potentiometer_Trimmer_Bourns_3296Y","https://www.verical.com/datasheet/bi-technologies-trimmers-pots-rheostats-67yr50klf-771818.pdf","200 VCD","","BI Technologies / TT Electronics","67YR50KLF","0","Mouser","","1,07 €","https://www.mouser.es/ProductDetail/BI-Technologies-TT-Electronics/67YR50KLF/?qs=sGAEpiMZZMvygUB3GLcD7jZSyzxDqivkgX13ZqnGEVY%3d","Value","Resistencias eléctricos - Agujero pasante 3/8" Squ 50K 10%","","858-67YR50KLF","",""
"U2","TL074","Housings_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/ds/symlink/tl074.pdf","36 V","","Texas Instruments","TL074CN","0","","","0,544 €","https://www.mouser.es/ProductDetail/Texas-Instruments/TL074CN/?qs=sGAEpiMZZMtCHixnSjNA6NVXWo9AXLOeoUCxMTuUhxw%3d","Value","Amplificadores operacionales - Op Amps JFET Input Low Noise","Mouser","595-TL074CN","",""
"C3","2.2n","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","http://www.mouser.com/ds/2/427/kvseries-1097555.pdf","50 VDC","","Vishay / BC Components","K222J15C0GF53L2","0","Mouser","","0,162 €","https://www.mouser.es/ProductDetail/Vishay-BC-Components/K222J15C0GF53L2/?qs=sGAEpiMZZMsh%252b1woXyUXjyVRnB3x21m5IKuv8pvsZQ0%3d","Value","Condensadores de cerámica multicapa (MLCC), con alimentación 2200pF 50volts 5% C0G 2.5mm LS","","594-K222J15C0GF53L2","",""
"C4","100n","Capacitors_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","http://www.mouser.com/ds/2/427/Sprague%201C-3C%20MLC%20leaded%20capacitors%202000-1211470.pdf","50 VDC","","Vishay / Sprague","1C10Z5U104M050B","0","Mouser","","0,085 €","https://www.mouser.es/ProductDetail/Vishay-Sprague/1C10Z5U104M050B/?qs=sGAEpiMZZMsh%252b1woXyUXjxCzu%2fsraiJXKPnmCIe%252b80o%3d","","Condensadores de cerámica multicapa (MLCC), con alimentación 0.1uF 50volts Z5U 20% 2.5mm L/S","","75-1C10Z5U104M050B","Value",""
"C6","4.7n","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","http://www.mouser.com/ds/2/212/KEM_C1051_GOLDMAX_Z5U-1140498.pdf","50 VDC","","KEMET","C315C472K5R5TA","0","Mouser","80-C315C472K5R","0,272 €","https://www.mouser.es/ProductDetail/KEMET/C315C472K5R5TA/?qs=sGAEpiMZZMsh%252b1woXyUXj1awJE2F56y1FQERjQ%252bH4nY%3d","Value","Condensadores de cerámica multicapa (MLCC), con alimentación 50volts 4700pF 10% X7R","","","",""
"C8","1n","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","http://www.mouser.com/ds/2/427/kvseries-1097555.pdf","50 VDC","","Vishay / BC Components","K102J15C0GF53H5","0","","","0,153 €","https://www.mouser.es/ProductDetail/Vishay-BC-Components/K102J15C0GF53H5/?qs=sGAEpiMZZMsh%252b1woXyUXj6wOtk7b2qswISdYo9T5OjE%3d","","Condensadores de cerámica multicapa (MLCC), con alimentación 1000pF 50volts 5% C0G 5mm LS","Mouser","594-K102J15C0GF53H5","Value",""
"D3","1N4148","Diodes_THT:D_T-1_P5.08mm_Horizontal","http://www.mouser.com/ds/2/308/1N4148-1118184.pdf","100 V","","ON Semiconductor/ Fairchild","1N4148","0","","","0,085 €","https://www.mouser.es/ProductDetail/ON-Semiconductor-Fairchild/1N4148/?qs=sGAEpiMZZMudZehw8RjeZWbu6z6oTQTL","Value","Diodos: de propósito general, potencia y conmutación 100V Io/200mA BULK","Mouser","512-1N4148","",""
"D2","1N4148","Diodes_THT:D_T-1_P5.08mm_Horizontal","http://www.mouser.com/ds/2/308/1N4148-1118184.pdf","100 V","Diodos: de propósito general, potencia y conmutación 100V Io/200mA BULK","ON Semiconductor/ Fairchild","1N4148","0","","","0,085 €","https://www.mouser.es/ProductDetail/ON-Semiconductor-Fairchild/1N4148/?qs=sGAEpiMZZMudZehw8RjeZWbu6z6oTQTL","","","Mouser","512-1N4148","Value",""
"C2","2.2u","Capacitors_THT:C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal","http://www.mouser.com/ds/2/427/030031as-239681.pdf","63 VDC","Capacitadores electrolíticos de aluminio - Con patas 2.2UF 63V-10%, +50% AXIAL","Vishay / BC Components","MAL203038228E3","0","Mouser","","0,374 €","https://www.mouser.es/ProductDetail/Vishay-BC-Components/MAL203038228E3/?qs=sGAEpiMZZMsh%252b1woXyUXjz6JV3ucdSNMR%2flsrIzZwRI%3d","Value","","","594-2222-030-38228","",""
"D1","1N4148","Diodes_THT:D_T-1_P5.08mm_Horizontal","http://www.mouser.com/ds/2/308/1N4148-1118184.pdf","100 V","","ON Semiconductor/ Fairchild","1N4148","0","Mouser","","0,085 €","https://www.mouser.es/ProductDetail/ON-Semiconductor-Fairchild/1N4148/?qs=sGAEpiMZZMudZehw8RjeZWbu6z6oTQTL","Value","Diodos: de propósito general, potencia y conmutación 100V Io/200mA BULK","","512-1N4148","",""
"R6","10k","Potentiometers:Potentiometer_Trimmer_Bourns_3296Y","http://www.ttelectronics.com/sites/default/files/download-files/Datasheet_Trimmer_67.pdf","200 VCD","","BI Technologies / TT Electronics","67YR10KLFTB","0","Mouser","","1,05 €","https://www.mouser.es/ProductDetail/BI-Technologies-TT-Electronics/67YR10KLFTB/?qs=sGAEpiMZZMvygUB3GLcD7lv7xXtevcsqg%252b18Jc5vJOA%3d","Value","Resistencias eléctricos - Agujero pasante 10K ohm 10% 3/8" Squ","","858-67YR10KLFTB","",""
"R8","1k","Potentiometers:Potentiometer_Trimmer_Bourns_3296Y","http://www.ttelectronics.com/sites/default/files/download-files/Datasheet_Trimmer_67.pdf","200 VCD","","BI Technologies / TT Electronics","67YR1KLF","0","Mouser","","1,07 €","https://www.mouser.es/ProductDetail/BI-Technologies-TT-Electronics/67YR1KLF/?qs=sGAEpiMZZMvygUB3GLcD7jZSyzxDqivk6Z6lZC%2fMnhw%3d","Value","Resistencias eléctricos - Agujero pasante 3/8" Squ 1K 10%","","67YR1KLF","",""
"C9","33u","Capacitors_THT:C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal","http://www.mouser.com/ds/2/427/021asm-239741.pdf","63 VDC","Capacitadores electrolíticos de aluminio - Con patas 33uF 63V 20% Axial","Vishay/BC Components","MAL202128339E3","0","","","0,604 €","","","","Mouser","594-2222-021-28339","Value","https://www.mouser.es/ProductDetail/Vishay-BC-Components/MAL202128339E3/?qs=sGAEpiMZZMtZ1n0r9vR22fPFtzULxwAMvkuZcjbskZc%3d"
"C5","100n","Capacitors_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","http://www.mouser.com/ds/2/427/Sprague%201C-3C%20MLC%20leaded%20capacitors%202000-1211470.pdf","50 VDC","","Vishay / Sprague","1C10Z5U104M050B","0","Mouser","","0,085 €","https://www.mouser.es/ProductDetail/Vishay-Sprague/1C10Z5U104M050B/?qs=sGAEpiMZZMsh%252b1woXyUXjxCzu%2fsraiJXKPnmCIe%252b80o%3d","","Condensadores de cerámica multicapa (MLCC), con alimentación 0.1uF 50volts Z5U 20% 2.5mm L/S","","75-1C10Z5U104M050B","Value",""
"C7","4.7n","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","http://www.mouser.com/ds/2/212/KEM_C1051_GOLDMAX_Z5U-1140498.pdf","50 VDC","","KEMET","C315C472K5R5TA","0","Mouser","80-C315C472K5R","0,272 €","https://www.mouser.es/ProductDetail/KEMET/C315C472K5R5TA/?qs=sGAEpiMZZMsh%252b1woXyUXj1awJE2F56y1FQERjQ%252bH4nY%3d","Value","Condensadores de cerámica multicapa (MLCC), con alimentación 50volts 4700pF 10% X7R","","","",""
"R2","1k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/ptf-239718.pdf","300 V","","Vishay / Dale","PTF561K0000BZEK","0","Mouser","","1,37 €","https://www.mouser.es/ProductDetail/Vishay-Dale/PTF561K0000BZEK/?qs=sGAEpiMZZMtlubZbdhIBIDfOMup5oo51%252bs9HTFYBx3k%3d","Value","Resistores de película de metal - a través del orificio 1/8watt 1Kohms .1% 5ppm","","71-PTF561K0000BZEK","",""
"R10","1k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/ptf-239718.pdf","300 V","","Vishay / Dale","PTF561K0000BZEK","0","Mouser","","1,37 €","https://www.mouser.es/ProductDetail/Vishay-Dale/PTF561K0000BZEK/?qs=sGAEpiMZZMtlubZbdhIBIDfOMup5oo51%252bs9HTFYBx3k%3d","Value","Resistores de película de metal - a través del orificio 1/8watt 1Kohms .1% 5ppm","","71-PTF561K0000BZEK","",""
"R24","1k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/ptf-239718.pdf","300 V","","Vishay / Dale","PTF561K0000BZEK","0","Mouser","","1,37 €","https://www.mouser.es/ProductDetail/Vishay-Dale/PTF561K0000BZEK/?qs=sGAEpiMZZMtlubZbdhIBIDfOMup5oo51%252bs9HTFYBx3k%3d","Value","Resistores de película de metal - a través del orificio 1/8watt 1Kohms .1% 5ppm","","71-PTF561K0000BZEK","",""
"R21","1k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/ptf-239718.pdf","300 V","","Vishay / Dale","PTF561K0000BZEK","0","Mouser","","1,37 €","https://www.mouser.es/ProductDetail/Vishay-Dale/PTF561K0000BZEK/?qs=sGAEpiMZZMtlubZbdhIBIDfOMup5oo51%252bs9HTFYBx3k%3d","Value","Resistores de película de metal - a través del orificio 1/8watt 1Kohms .1% 5ppm","","71-PTF561K0000BZEK","",""
"R18","1k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/ptf-239718.pdf","300 V","","Vishay / Dale","PTF561K0000BZEK","0","Mouser","","1,37 €","https://www.mouser.es/ProductDetail/Vishay-Dale/PTF561K0000BZEK/?qs=sGAEpiMZZMtlubZbdhIBIDfOMup5oo51%252bs9HTFYBx3k%3d","Value","Resistores de película de metal - a través del orificio 1/8watt 1Kohms .1% 5ppm","","71-PTF561K0000BZEK","",""
"R13","1k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/ptf-239718.pdf","300 V","","Vishay / Dale","PTF561K0000BZEK","0","Mouser","","1,37 €","https://www.mouser.es/ProductDetail/Vishay-Dale/PTF561K0000BZEK/?qs=sGAEpiMZZMtlubZbdhIBIDfOMup5oo51%252bs9HTFYBx3k%3d","Value","Resistores de película de metal - a través del orificio 1/8watt 1Kohms .1% 5ppm","","71-PTF561K0000BZEK","",""
"R12","1k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/ptf-239718.pdf","300 V","","Vishay / Dale","PTF561K0000BZEK","0","Mouser","","1,37 €","https://www.mouser.es/ProductDetail/Vishay-Dale/PTF561K0000BZEK/?qs=sGAEpiMZZMtlubZbdhIBIDfOMup5oo51%252bs9HTFYBx3k%3d","Value","Resistores de película de metal - a través del orificio 1/8watt 1Kohms .1% 5ppm","","71-PTF561K0000BZEK","",""
"R9","1k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/ptf-239718.pdf","300 V","","Vishay / Dale","PTF561K0000BZEK","0","Mouser","","1,37 €","https://www.mouser.es/ProductDetail/Vishay-Dale/PTF561K0000BZEK/?qs=sGAEpiMZZMtlubZbdhIBIDfOMup5oo51%252bs9HTFYBx3k%3d","Value","Resistores de película de metal - a través del orificio 1/8watt 1Kohms .1% 5ppm","","71-PTF561K0000BZEK","",""
"R5","20 k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/pr010203-239785.pdf","1 W","Resistores de película de metal - a través del orificio 1watt 20Kohms 5%","Vishay / BC Components","PR01000102002JR500","0","Mouser","594-5073NW20K00J","0,153 €","https://www.mouser.es/ProductDetail/Vishay-BC-Components/PR01000102002JR500/?qs=sGAEpiMZZMtlubZbdhIBIDqBBcd6vlUvcXCTzMTkq0Y%3d","Value","","","","",""
"R25","20 k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/pr010203-239785.pdf","1 W","Resistores de película de metal - a través del orificio 1watt 20Kohms 5%","Vishay / BC Components","PR01000102002JR500","0","Mouser","594-5073NW20K00J","0,153 €","https://www.mouser.es/ProductDetail/Vishay-BC-Components/PR01000102002JR500/?qs=sGAEpiMZZMtlubZbdhIBIDqBBcd6vlUvcXCTzMTkq0Y%3d","Value","","","","",""
"R15","6.04 k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/mrs16m25-239694.pdf","600 mW","Resistores de película fina - a través del orificio .6watt 6.04Kohms 1%","Vishay / BC Components","MRS25000C6041FRP00","0","Mouser","594-MRS25000C6041FRP","0,255 €","https://www.mouser.es/ProductDetail/Vishay-BC-Components/MRS25000C6041FRP00/?qs=sGAEpiMZZMtlubZbdhIBILNXVGfLCPaRYdNVVAtbqyQ%3d","Value","","","","",""
"R17","82.5 k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/sfr16s25-239894.pdf","500 mW","Resistores de película de metal - a través del orificio 1/2W 82.5Kohms 1% SFR25H series","Vishay/BC Components","SFR25H0008252FR500","0","Mouser","594-5053HD82K50F","0,145 €","https://www.mouser.es/ProductDetail/Vishay-BC-Components/SFR25H0008252FR500/?qs=sGAEpiMZZMtlubZbdhIBIDqBBcd6vlUvBInqeF77j3k%3d","Value","","","","",""
"R20","150 k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/pr010203-239785.pdf","1 W","Resistores de película de metal - a través del orificio 1watt 150Kohms 5%","Vishay / BC Components","PR01000101503JR500","0","Mouser","594-5073NW150K0J","0,153 €","https://www.mouser.es/ProductDetail/Vishay-BC-Components/PR01000101503JR500/?qs=sGAEpiMZZMtlubZbdhIBIDqBBcd6vlUvq83rc%2fKQHzc%3d","Value","","","","",""
"R23","4k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/cmfind-239942.pdf","500 mW","","Vishay / Dale","CMF554K0000BHEB","0","Mouser","","0,519 €","https://www.mouser.es/ProductDetail/Vishay-Dale/CMF554K0000BHEB/?qs=sGAEpiMZZMu61qfTUdNhG%2fYeirsUcb7vuWyTTpZF6XY%3d","Value","Resistores de película de metal - a través del orificio 1/2W 4Kohms .1%","","71-CMF554K0000BHEB","",""
"R16","56.7k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/cmfmil-223788.pdf","125 mW","","Vishay / Dale","RN55D5692FB14","0","Mouser","","0,094 €","https://www.mouser.es/ProductDetail/Vishay-Dale/RN55D5692FB14/?qs=sGAEpiMZZMu61qfTUdNhG%252bpsoCdlAlNbnsL9Ma9ZmB8%3d","Value","Resistores de película de metal - a través del orificio 1/8watt 56.9Kohms 1% 100ppm","","71-RN55D5692F","",""
"R14","1.5k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/sfr16s25-239894.pdf","500 mW","","Vishay / BC Components","SFR25H0001501FR500","0","Mouser","","0,128 €","https://www.mouser.es/ProductDetail/Vishay-BC-Components/SFR25H0001501FR500/?qs=sGAEpiMZZMtlubZbdhIBIDqBBcd6vlUvXD5sFurxDKI%3d","Value","Resistores de película de metal - a través del orificio 1/2W 1.5Kohms 1% SFR25H series","","594-5053HD1K500F","",""
"R7","10k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/cmfind-239942.pdf","500 mW","","Vishay / Dale","CMF5510K000BEEB","0","Mouser","","0,604 €","https://www.mouser.es/ProductDetail/Vishay-Dale/CMF5510K000BEEB/?qs=sGAEpiMZZMu61qfTUdNhG%2ftLN5a%2f3qqMbhu1tAmrWso%3d","Value","Resistores de película de metal - a través del orificio 1/2W 10Kohms .1%","","71-CMF5510K000BEEB","",""
"R19","82.5 k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/sfr16s25-239894.pdf","500 mW","Resistores de película de metal - a través del orificio 1/2W 82.5Kohms 1% SFR25H series","Vishay/BC Components","SFR25H0008252FR500","0","Mouser","594-5053HD82K50F","0,145 €","https://www.mouser.es/ProductDetail/Vishay-BC-Components/SFR25H0008252FR500/?qs=sGAEpiMZZMtlubZbdhIBIDqBBcd6vlUvBInqeF77j3k%3d","Value","","","","",""
"R22","82.5 k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/sfr16s25-239894.pdf","500 mW","Resistores de película de metal - a través del orificio 1/2W 82.5Kohms 1% SFR25H series","Vishay/BC Components","SFR25H0008252FR500","0","Mouser","594-5053HD82K50F","0,145 €","https://www.mouser.es/ProductDetail/Vishay-BC-Components/SFR25H0008252FR500/?qs=sGAEpiMZZMtlubZbdhIBIDqBBcd6vlUvBInqeF77j3k%3d","Value","","","","",""
"C10","33u","Capacitors_THT:C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal","http://www.mouser.com/ds/2/427/021asm-239741.pdf","63 VDC","Capacitadores electrolíticos de aluminio - Con patas 33uF 63V 20% Axial","Vishay/BC Components","MAL202128339E3","0","","","0,604 €","","","","Mouser","594-2222-021-28339","Value","https://www.mouser.es/ProductDetail/Vishay-BC-Components/MAL202128339E3/?qs=sGAEpiMZZMtZ1n0r9vR22fPFtzULxwAMvkuZcjbskZc%3d"
"J1","VCC+","Pin_Headers:Pin_Header_Angled_1x01_Pitch1.27mm",""
"J5","VDD-","Pin_Headers:Pin_Header_Angled_1x01_Pitch1.27mm",""
"J3","GND","Pin_Headers:Pin_Header_Angled_1x01_Pitch1.27mm",""
"J2","GND","Pin_Headers:Pin_Header_Angled_1x01_Pitch1.27mm",""
"U3","WeMos_mini","wemos_d1_mini:D1_mini_board",""
"U4","AP1117-33","TO_SOT_Packages_THT:TO-220-3_Vertical","http://www.mouser.com/ds/2/268/mic2937-779103.pdf","26 V","","Microchip Technology / Micrel","MIC2937A-5.0WT","0","Mouser","","2,42 €","https://www.mouser.es/productdetail/microchip-technology-micrel/mic2937a-50wt?qs=sGAEpiMZZMsGz1a6aV8DcP%252b6ey5cUOYkOk3Vf6HqDrc%3D","Value","Reguladores de voltaje LDO 750mA LDO Fixed Voltage","","998-MIC2937A-5.0WT","",""
"J9","Salida Previo","Pin_Headers:Pin_Header_Angled_1x01_Pitch1.27mm",""
"J8","Ajuste nivel umbral","Pin_Headers:Pin_Header_Angled_1x01_Pitch1.27mm",""
"J7","Ajuste señal salida","Pin_Headers:Pin_Header_Angled_1x01_Pitch1.27mm",""
"P1","CONN_01X08","Pin_Headers:Pin_Header_Straight_1x08_Pitch1.00mm",""
"P2","CONN_01X08","Pin_Headers:Pin_Header_Straight_1x08_Pitch1.00mm",""
